Constituency is in resultdata but missing in constituencydata
Constituency1(super=Constituency(id=75, name=ANGAMALY), electors=163696)
Constituency1(super=Constituency(id=66, name=OLLUR), electors=193404)
Constituency1(super=Constituency(id=121, name=PUNALUR), electors=204628)
Constituency1(super=Constituency(id=11, name=KANNUR), electors=163205)
Constituency1(super=Constituency(id=126, name=CHATHANNUR), electors=179928)
Constituency1(super=Constituency(id=122, name=CHADAYAMANGALAM), electors=196733)
Constituency1(super=Constituency(id=15, name=MATTANNUR), electors=177911)
Constituency1(super=Constituency(id=78, name=PARAVUR), electors=191307)
Constituency1(super=Constituency(id=123, name=KUNDARA), electors=200163)
Constituency1(super=Constituency(id=117, name=CHAVARA), electors=175916)
Constituency1(super=Constituency(id=63, name=GURUVAYOOR), electors=201801)
Constituency1(super=Constituency(id=104, name=ALAPPUZHA), electors=193532)
Constituency1(super=Constituency(id=47, name=THAVANUR), electors=184868)
Constituency1(super=Constituency(id=46, name=KOTTAKKAL), electors=198872)
Constituency1(super=Constituency(id=101, name=POONJAR), electors=183590)
Constituency1(super=Constituency(id=41, name=VENGARA), electors=169639)
Constituency1(super=Constituency(id=20, name=VADAKARA), electors=158907)
Constituency1(super=Constituency(id=31, name=KODUVALLY), electors=167786)
Constituency1(super=Constituency(id=57, name=TARUR (SC)), electors=164236)
Constituency1(super=Constituency(id=135, name=NEMOM), electors=192459)
Constituency1(super=Constituency(id=68, name=NATTIKA (SC)), electors=196781)
Constituency1(super=Constituency(id=34, name=ERANAD), electors=166044)
Constituency1(super=Constituency(id=132, name=KAZHAKKOOTTAM), electors=181771)
Constituency1(super=Constituency(id=32, name=THIRUVAMBADY), electors=168412)
Constituency1(super=Constituency(id=71, name=PUTHUKKAD), electors=195265)
Constituency1(super=Constituency(id=99, name=CHANGANASSERY), electors=167180)
Constituency1(super=Constituency(id=40, name=MALAPPURAM), electors=193761)
Constituency1(super=Constituency(id=90, name=THODUPUZHA), electors=195987)
Constituency1(super=Constituency(id=62, name=KUNNAMKULAM), electors=191274)
Constituency1(super=Constituency(id=125, name=ERAVIPURAM), electors=170253)
Constituency1(super=Constituency(id=8, name=TALIPARAMBA), electors=197568)
Constituency1(super=Constituency(id=91, name=IDUKKI), electors=184218)
Constituency1(super=Constituency(id=55, name=MALAMPUZHA), electors=202828)
Constituency1(super=Constituency(id=10, name=AZHIKODE), electors=172757)
Constituency1(super=Constituency(id=77, name=KALAMASSERY), electors=190530)
Constituency1(super=Constituency(id=93, name=PALA), electors=180091)
